"genus","class","fc1_p","fc2_p","fc3_p","between_mean1","within_mean1","family_mean1","total_number_between","total_number_family","total_number_within","number_1_between","number_1_family","number_1_within","freq_between","freq_family","freq_within","fc1_p_adjust","fc2_p_adjust","fc3_p_adjust","fc1","fc2"
"Acetivibrio","Stool",0.0672964583564633,NA,NA,0.753788740791579,0.64886328970083,NA,270,NA,30,135,NA,9,0.5,NA,0.3,0.0739478524963463,NA,NA,0.104925451090749,NA
"Acidaminococcus","Stool",3.7337268468319e-60,0.410636096318802,6.68878604975997e-30,0.812979325989787,0.510201328238145,0.816360438263004,4640,230,486,2740,132,18,0.59051724137931,0.573913043478261,0.037037037037037,8.01902697785487e-60,0.956012161742212,1.1588710714119e-29,0.302777997751642,0
"Acutalibacter","Stool",1.90328802538634e-65,0.551689207594369,5.07177744305345e-46,0.941356822785645,0.66513084798469,0.937704173227405,16047,402,571,14011,353,218,0.873122702062691,0.878109452736318,0.381786339754816,4.18280740462812e-65,1,1.00759311868662e-45,0.276225974800956,0.0132234108717397
"Adlercreutzia","Stool",1.40833249206248e-166,0.999993389764538,1.28180108699876e-189,0.947356022217931,0.701633424386854,0.960335173637177,42238,3900,1448,37493,3578,552,0.887660400587149,0.917435897435897,0.38121546961326,4.09499755384322e-166,1,3.35067301689149e-189,0.245722597831077,0
"Aestuariispira","Stool",5.07504352982327e-10,NA,NA,0.727499584169213,0.62629258738464,NA,3274,NA,554,333,NA,9,0.101710445937691,NA,0.0162454873646209,7.25782469201258e-10,NA,NA,0.101206996784573,NA
"Agathobacter","Stool",0,1,0,0.762506925677882,0.575453714896986,0.833655573817059,312764,16862,9450,68561,6309,780,0.219210011382384,0.374154904519037,0.0825396825396825,0,1,0,0.187053210780895,0
"Agathobaculum","Stool",1.58231960465836e-115,4.33362791956078e-07,2.45381328096579e-92,0.95516515357768,0.715501538524266,0.929730033800537,56748,4755,1332,51479,4176,672,0.9071509128075,0.878233438485804,0.504504504504504,3.93497901684776e-115,2.01784550004549e-06,5.53966937672581e-92,0.239663615053414,0.106128415744187
"Akkermansia","Stool",0,0.0507743063591272,0,0.922109206490834,0.711124744803755,0.924400639754092,111766,6266,4233,86794,4763,1321,0.776568902886388,0.760134056814555,0.312071816678479,0,0.160965354202339,0,0.210984461687079,0
"Alistipes","Stool",0,1,0,0.83466673623975,0.548820131630033,0.835892518800851,369839,20853,11164,55321,5117,189,0.149581304297275,0.245384357166835,0.0169294159799355,0,1,0,0.285846604609717,0
"Allisonella","Stool",0.000120595726431083,0.989320421669129,7.57998747529919e-07,0.930911135456754,0.629451972770118,1,248,42,35,216,42,17,0.870967741935484,1,0.485714285714286,0.000157190291692929,1,1.0267437580178e-06,0.301459162686637,0
"Aminipila","Stool",3.42766566113572e-14,0.96157511886129,9.00438220743116e-16,0.855575035058706,0.546682374621475,0.869674632860019,2692,346,122,1988,280,29,0.738484398216939,0.809248554913295,0.237704918032787,5.53699837568077e-14,1,1.44263757947015e-15,0.308892660437231,0
"Anaerobutyricum","Stool",0,1.14752243314681e-76,0,0.960007033645026,0.773818837965796,0.94447927187604,343634,18181,10138,272063,12798,3830,0.791723170582655,0.703921676475441,0.377786545669757,0,1.89978713932083e-75,0,0.18618819567923,0.0833982074553117
"Anaerofilum","Stool",2.12762799979426e-11,0.959954814033273,6.95568731798395e-14,0.899979932398159,0.61619529080475,0.928651162171162,2640,250,113,2229,225,46,0.844318181818182,0.9,0.407079646017699,3.24291687065415e-11,1,1.06845093853568e-13,0.283784641593409,0
"Anaerofustis","Stool",0.000981485177494243,NA,NA,0.990720390720391,0.667105263157895,NA,234,NA,19,231,NA,11,0.987179487179487,NA,0.578947368421053,0.00120454999056112,NA,NA,0.323615127562496,NA
"Anaeromassilibacillus","Stool",0,8.064095240725e-05,0,0.934250028261171,0.661668468523294,0.929367807740981,186558,11458,4550,151566,9066,1462,0.81243366674171,0.791237563274568,0.321318681318681,0,0.000324743294829196,0,0.272581559737877,0.0179110447709105
"Anaerostipes","Stool",0,1.5730509603483e-112,2.58449134840261e-233,0.835068436619299,0.668231806463626,0.789127898265482,355571,20493,10696,164744,7440,2184,0.46332237443436,0.363050797833407,0.204188481675393,0,3.90640988486495e-111,7.26583416815074e-233,0.166836630155673,0.275362420776242
"Anaerotignum","Stool",0,1.18351907869873e-15,0,0.938170679918699,0.675704880077543,0.921034835273354,245808,14238,8232,199790,11068,2543,0.812788843324871,0.777356370276724,0.308916423712342,0,7.05377370904444e-15,0,0.262465799841156,0.0652879142947997
